Test,Id,Year_of_study,Gender,Secondary_school,finale srednja,Cources_mathematics,Cources_statistics,1. task-Maternity hospital,1. task-comment,1.task -comment-code,2. task-lotto,2. task-comment,2. task-comment-code,3. task-correlation,3.task-comment,3.task- comment-code,4. task-worker,4. task -comment,4.task-commnet-code,5. task-urn,5. task-comment,5.task-comment-code,6.task-lawyer_or_musician,6.task- comment,6. task -comment-code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-obrnuto,19,20,Komentar
D,61,first,m,g,gimnazija,0,no,,,,g,"Biraju se nasumični brojevi, verovatnoća da budu 1,2,3 je ist kao i pod B.",11,,,,a,Opis Milan je subjektivan i nemože uticati na odgovor. ,11,v,Tačan račun.,111,b,Mnogo veći broj ljudi završi prava nego što je član filharmonije. Opis pod a je dosta specifičan dok je pod b dosta opštiji.,11,2,2,5,5,3,4,2,5,5,5,5,4,2,1,3,5,4,3,5,1,5,
D,62,first,m,v,elektro,0,no,,,,g,Ne podnosim sujeverje. Fuj.,13,,,,a,Stereotip je da kompjuteraši ne vežbaju redovno.,12,a,,0,b,"Zato što su pravnici veliki deo svršenih studenta, dok klarinetisti koji sviraju u filharmoniji  i nisu baš brojni.",11,2,1,4,5,1,1,1,5,4,4,4,2,5,3,5,5,4,1,5,1,5,
D,63,first,m,v,elektro,0,no,,,,g,"Kuglice se nasumično izvlače što znači da ni jedna nema prioritet, a to znači da nijedna kombinacija nije najučestalija.",11,,,,a,Jer sam tekst zadatka kaže da je 70% inženjera.,11,b,U prvom slučaju je 50-50 % šansi. U trećem slučaju šanse su znatno manje jer je u urni 90% belih kuglica. Drugi slučaj je najlogičniji jer se u urni nalazi 90% što je daleko veće od 1. i 3. slučaja.,2,a,"Beogradska filharmonija je opera, a klarinet vid umetnosti koji zajedno sa operom čini Markova interesovanja. ",1,2,3,4,4,5,5,4,4,3,3,3,3,4,2,5,5,5,5,3,3,5,
D,64,first,m,g,gimnazija,0,no,,,,g,Jel se kuglice izvlače nasumično.,11,,,,v,Zato što ima dve mogućnosti ili je pravnik ili je inženjer.,1,b,Veće su mogućnosti jer je više crvenih kuglica.,2,a,"Jer je bio zainteresovan za umetnost. Ali postoji mogućnost da ni jedno nije tačno, jer  iako je voleo muziku i umetnost  ne mora da znači da se time i bavi.",1,1,3,4,4,4,5,4,4,3,3,2,3,3,1,3,4,5,4,5,1,5,
D,65,first,m,g,gimnazija,0,no,,,,g,zato sto se nasumicno izvlaci,11,,,,v,Jer ima 50% sanse da je inzenjer,1,a,sve zavisi od broja kuglica a mi imamo samo procente sto nam malo ide na ruku. I ne moze priblizno da odredimo igru za najvecu sansu dobitka. U svakom slucaju pod a je 50% - 50% tako da je to u procentima,1,a,voleo je muzku! Tj operu kao i umetnost ali sansu su opet 50 - 50,2,2,1,4,3,4,4,5,3,3,4,3,3,4,3,4,5,3,3,1,5,5,mozganje mozganje mozganje
D,66,first,m,g,gimnazija,0,no,,,,g,"S obzirom na broj mogucih kombinacija, sansa za svaku koja ima 7 brojeva je ista",11,,,,b,Da je inzenejr inf. The bio bi operisan od bilo kakvog vida sporta,2,b,Posto je izvlacenje sa vracanjem sansa je konstantna i iznosi 90%,2,b,Zasto bi iko svirao klarinet,13,3,4,5,4,5,3,3,4,4,5,3,4,1,1,2,5,4,1,4,2,5,Sve top
D,67,first,m,v,elektro,0,no,,,,g,"Svi imaju iste sanse, jer se nasumicno izvlaci",11,,,,a,Mislim da su velike verovatnoce da to bude on,11,a,Potrebno je izvuci samo 1 kuglicu a sansu su 50-50,1,b,Ako nekoga nesto interesuje ne mora time da se bavi,12,2,2,4,5,5,3,4,4,3,3,2,2,3,2,4,5,1,1,5,1,5,nadam se da ce ovo unaprediti nase skolovanje
D,68,first,m,g,gimnazija,0,no,,,,g,"U lotou brojevi izlaze nasumično, pa je sve jedno koje brojoeve uzimamo.",11,,,,v,Ako je to verovatnoća onda je 50%,3,b,"Nije a jer je 50%, nije v jer je previše mala šansa.",2,b,Zato to što to samo voli ali od toga nema leba.,13,3,2,4,4,3,4,3,4,4,5,3,4,4,4,4,3,3,3,3,3,4,Test je zanimljiv.
D,69,first,m,v,elektro,0,no,,,,g,,10,,,,a,Jer je 70% IT inženjerea.,11,v,,10,a,,0,3,1,1,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,
D,70,first,m,g,gimnazija,0,no,,,,g,Svuda se vuče 7 kuglica redosled nije bitan. ,11,,,,v,Može biti ili inženjer ili pravnik.,1,v,"Najviše pokušaja  i najmanje uslova , ali možda grešim.",11,b,Lakše je biti pravnik( 300 pitanja za prijemni) nego naučiti svirati klarinet.,12,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,Ovaj test je bip zanimljiv i uživao sam radeći ga. Jednino što mi e smetalo na ovom testu je mali broj pitanja.
D,71,first,m,g,gimnazija,0,no,,,,g,Ne postoji taktika i šema po kojoj jedna broj ima veće šanse daizadje od drugog.,11,,,,a,Milan može biti i inženjer i pravnik ali je odnos  1:3 tako da su veće šanse od 50% da je onženjer.,12,b,Šanse su uvek 90% i to je.,2,a,Marko od malena želi da se bavi muzikom i to je i uspeo.,1,4,4,3,4,3,3,3,2,4,3,3,3,4,2,5,4,4,4,3,3,2,
D,72,first,f,g,gimnazija,0,no,,,,,,99,,,,v,,0,,,99,a,Zato što Marko od malena voli pozorište i muziku.,1,1,3,5,5,5,5,2,5,2,4,2,1,3,3,3,5,5,4,4,2,5,
D,73,first,f,g,gimnazija,0,no,,,,,,99,,,,v,ili je pravnik ili je inženjer,1,a,,0,a,Zto što ga je muzika zanimala od malena.,1,1,3,5,5,5,5,2,5,2,4,2,1,3,3,4,5,5,4,3,3,5,
D,74,first,m,g,gimnazija,0,no,,,,g,"Loto je napravljen tako da sve kombinacije imaju iste šanse, jer da nije tako neki bi građani bili u prdnosti a drugi diskiminisani što nije fer.",11,,,,a,Zato što ima više pravnika sa IT diplomom.,11,a,Imam osećaj da je ovo tačno.,3,a,Ako ga zanima pozorište i muzika velika je verovatnoća da je to zanimanje i odabrao.,1,1,3,3,2,4,2,3,2,2,2,2,2,2,3,3,5,4,4,3,3,4,Vrlo dobro. Svaka čast.
D,75,first,f,g,gimnazija,0,no,,,,g,"Postoji određen broj kombinacija, nema pravila po kom se izvlače brojevi,igra je programirana tako da svaka kombinacija može biti izvučena.",11,,,,v,"Šansa je 50% jer nemamo na osnovu čega da tvrdimo šta je, a da je pitanje verovatnoća bilo bi 70%.",1,a,Odogovor je pod a zato što pod b svih 7 moraju biti crvene a pod v je mnogo više belih od crvenih.,1,b,"Verovatno je pravnik jer nema prihode od filharmonije aklarinet mu svakako može biti hobi, dok je pravnik dobro plaćen posao.",13,1,3,3,3,5,5,4,2,3,3,3,3,4,3,3,5,5,5,5,1,4,
D,76,first,f,g,gimnazija,0,no,,,,g,Nebitno je koji je broj  svi imaju jednake šanse.,11,,,,v,Šanse su u životu uvek 50-50%.,1,v,Igra na sreću.,13,b,Zato što je to profitabilnija profesija.,13,1,3,4,4,5,3,5,5,4,3,2,3,4,4,4,5,3,3,4,2,5,U životu su šanse uvek 50-50%
D,77,first,f,v,elektro,0,no,,,,g,Zato što su brojevi nasumični.,11,,,,v,"Zato što biramo izmedju dva zanimanja, što znači da za svaki imamo 100%/2=50% šanse da pogodimo.",1,a,Znam po inuiciji.,3,a,E ovo je primer kako se svaraju predrasude. Kakve veze imaju Markova onteresovanja s obrazovanjem?Obe opcije su podjednako verovatne.,12,1,2,5,2,5,1,5,3,1,3,2,4,5,1,2,5,3,3,5,1,5,Živeti život po zakonima verovatnoće je apsolutna nebuloza. Glupo je bilo šta generalizovati.
D,78,first,m,g,gimnazija,0,no,,,,g,U lotou se brojevi izvlače nasumično i zato sve imaju iste šanse.,11,,,,a,Obzirom da je u kompaniji 70% inženjera to je najverovatnije.,11,b,"Svaka kuglica koju izvučem je u 90% slučajeva crvena, što je veća verovatnoća nego u prvom i trećem slučaju.",2,a,Marko voli umetnos i opere i zbog toga je prva tvrdnja verovatnija.,1,2,4,3,4,3,4,3,4,2,2,3,4,3,3,3,5,5,4,5,1,5,
D,79,first,m,g,gimnazija,0,no,,,,v,,0,,,,a,,10,b,,0,a,,0,3,3,5,4,5,4,3,5,3,4,2,3,4,2,2,5,5,2,4,2,5,
D,80,first,m,g,gimnazija,0,no,,,,g,Kombinacije bez ponavljanja.,11,,,,a,Dve su profesije u pitanju.,1,b,Nisam siguran intuicija.,3,a,Iz teksta zadatka nemam nikakvu informaciju da Marko voli pravne nauke.,1,1,2,4,4,5,4,3,3,3,4,3,3,5,3,4,5,5,4,4,2,5,
D,81,first,m,g,gimnazija,0,no,,,,v,"Zlatna 38 uvek izlazi, mada su šanse jednake. Neki ljudi ne veruju da je moguće da izadje 7 uzastopnih brojeva",3,,,,a,Ako u firmi ima 70% inženjera onda je logično da su šanse 70%.,11,a,"Najbolje su opcije za prvu igru. U drugu ne bih ulagao jer nemam sreće, a u trećoj bi sigurno izgubio.",1,a,Marko prati svoje snove.,1,4,3,4,5,5,4,3,5,4,4,5,4,5,3,3,4,3,2,5,1,5,
D,82,first,m,g,gimnazija,0,no,,,,g,Prilično je očigledno da je u pitanju izvlačenje 7 od 39 što je šansa za pojavljivanje bilo koje kombinacije.,11,,,,a,"Prilično očigledno ako je u kompaniji zaposleno 100 radnika 70 njih će biti inženjeri, što je 70% šanse.",11,v,"Prvi put nam je šansa 10% ali svakim sledećim izvlačenjem se šansa povećava za izvlačenje. Statistički gledano potrebno je 10 puta izvući kuglicu da bismo izvukli crvenu, ali mi imamo 7 što je bolje od 50-50.",11,b,"U stranu što Marko voli muziku, u Srbiji je mnogo veći broj pravnika nego članova Beogradske filharmonije, pa je statistika na njegovoj strani.",11,2,1,4,4,5,4,3,5,3,4,3,2,4,4,5,5,5,2,3,3,5,Drago mi je što sam učestvovao u vašem istraživanju.
D,83,first,m,g,gimnazija,0,no,,,,v,Mislim da je za ovo najveća verovatnoća jer su uključeni parni i nearni brojevi svih desetica.,1,,,,a,Veći je broj inženjera informacionih tehnologija pa je samim tim i verovatnoća veća.,11,a,Verovatnoća od 50:50 je nekako najrealnija. Jer se kuglice vraćaju pa mislim da bi u puno izvlačenja bila izvučena jedna koja ne treba.,1,a,U suštni može i jedno i drugo ali je veća verovatnoća da je odabrao ono što voli.,1,1,3,4,3,4,5,4,2,1,2,2,1,2,3,3,4,4,3,4,2,5,"Zanimljiv upitnik, nema šta."
D,84,first,m,v,elektro,0,no,,,,g,"Sa razlogom se zove Loto, sreća je glavni faktor.",13,,,,a,Pa od 100%  70% je inženjera IT.,11,a,50 % šanse su bolje nego ostale.,1,a,Ako ga zanima muzika logično je da će ići za onim što ga zanima.,1,3,3,4,2,5,5,4,3,2,2,3,3,5,1,5,5,4,3,4,2,3,
D,85,first,f,g,gimnazija,0,no,,,,v,Mislim da je mala šansa da može da se desi da kombinacija bude ista kao pod a i b.,2,,,,a,Mislim da ima veće šanse zbog većeg procenta radnika.,11,a,Veća je šansa da se izvuče jedna crvena kuglica ako imamo jednak broj crvenih i belih kuglica.,1,a,Marko bi se opredelio u životu da radi ono što ga zanima.,1,1,2,3,4,3,5,4,4,4,3,3,4,4,3,1,5,5,5,5,1,5,
D,86,first,f,g,gimnazija,0,no,,,,v,U prvom slučaju su svi brojevi za redom a u drugom svi parni a u trećem su najrazličitiji brojevi.,1,,,,a,U kompanije zaposleno 70% inženjera It....,11,a,"U prvom slučaju su šanse 50'50, veće nego u sotalim slučajevima.",1,a,"Ako nekog od malena zanima umetnost , trebalo bi da se tome posveti.",1,1,2,5,5,5,5,5,5,5,3,4,3,1,5,5,3,5,5,5,1,5,"U srednjoj školi uopšte nismo imali statistiku, što je veliki nedostatak, jer svakome je kad tad potrebna."
D,87,first,f,g,gimnazija,0,no,,,,v,najrazlicitiji brojevi,1,,,,a,Jer ima 70% inzenjera inf. The,11,a,ima 50% sanse jer ima 1/2 crvenih kuglica,1,b,,10,1,3,4,4,5,4,2,4,2,3,2,1,3,2,4,5,4,3,4,2,5,
D,88,first,m,g,gimnazija,0,no,,,,v,Sanse rastu ako se pojavi ucestalost razlicitih klasa brojeva na dobitnom tiketu,1,,,,a,Vise je inzenjera nego pravnika,11,,,99,a,Marko od malena voli muziku i emocionalno je vezan za nju. Ako izuzmemo zarade od profesija i verovatnije je da ce marko slediti svoju strast,1,2,3,4,3,5,3,3,5,3,4,4,2,4,3,3,5,4,3,4,2,5,
D,89,first,f,g,gimnazija,0,no,,,,v,Namestano je i uvek loptice variraju u razlictim opsezima pa se izvuce iz svake desetice bar po jedna,1,,,,v,Od ove profesije 50% sanse su da pripada bar jednoj,1,b,Veliki broj crvenih kuglica pa je i veca sansa da cu izvuci crvena kuglice,2,b,Izabrao je profesiju od koje vise zaradjuje ali to ga nije sprecilo da i dalje voli umetnost,12,1,4,3,2,4,5,5,3,3,3,3,4,3,4,3,5,5,4,5,1,5,
D,90,first,f,g,gimnazija,0,no,,,,v,Zato sto su sanse pod a i b mnogo manje od v,2,,,,a,,10,b,,0,b,"Marko u svoje slobodno vreme i dalje moze da voli pozoriste muziku i opere, ali od necega mora da zivi",13,4,3,4,4,5,4,4,4,3,4,4,4,5,4,3,5,5,5,3,3,5,
D,91,first,f,v,elektro,0,no,,,,v,"Sve sanse su moguce s tim da je prva najmanje moguca, a druge dve mogu biti jednakih sansi",1,,,,v,"Nije vazno koju diplomu odredjeni radnik poseduje, svako podjednako tezi ka napretku u svom poslu, a hobiji kojima se bave su razliciti za svakog",2,b,Lakse se i cesce dobija nejednak priblizan broj kuglica,3,b,"Marko je odlucio da interesovanje za muziku i umetnost ostavi kao hobi, a zaposlio se kao pravnik",12,1,3,4,4,5,5,3,3,4,2,2,3,4,4,4,3,5,2,3,3,4,Anketa je vrlo kreativna i interesantna
D,92,first,f,g,gimnazija,0,no,,,,g,Zato sto bilo koju kombinaciju da odaberemo verovatnoca je da je dobitna kombinacija 7/39,12,,,,a,Zato sto je toliki odnos inz it u odnosu na praznike,11,a,Zato sto su sanse 50%,1,b,Zato sto obozava operu koja je vise vezana za pevanje nego za sviranje klarineta,12,1,5,1,4,3,5,3,5,4,4,3,2,4,3,5,5,4,4,5,1,5,
D,93,first,m,v,elektro,0,no,,,,g,"Sanse su jednake 7/39 bez obzira na ""rastrkanost"" loptica",12,,,,a,Posto od ukupnog broja radnika 70% je inzenjeri IT,11,a,Smatram da su u prvoj igri najvece sanse za dobitak (50%) jer u druge dve igre sanse ostaju iste zbog vracanja loptice,1,a,Vece su sanse da se Marko bavi muzikom jer je od detinjstva pokazivao afinitet ka tome,1,1,2,5,4,5,4,4,5,3,5,4,2,4,5,3,5,3,1,3,3,5,Misljenja sam da ce ova anketa biti vrlo znacajna u smislu promene pogleda na statistiku i zloupotrebljavanja iste
D,94,first,f,g,gimnazija,0,no,,,,g,,10,,,,v,Zato sto jedan radnik ima 50% sanse da bude inzenjer,1,b,"Zato sto crvenih kuglica ima vise, te je veca sansa da izvucemo crvenih 7 sa vracanjem",2,b,Zato sto se u medjuvremenu predomislio ili nije mogao da ostvari svoj cilj. Ili je shvatio da sa tim nema neke perspektive pa se ipak odlucio za diplomu. ,12,1,1,3,4,5,5,3,4,2,3,1,2,3,2,3,5,4,4,2,4,5,
D,95,first,f,g,gimnazija,0,no,,,,g,Nasumicno se bira kombinacija,11,,,,a,To je procenat it inzenjera u toj firmi,11,v,"U prvoj su sanse 50-50 u drugoj manje, a u trecoj preko 50-50%",11,a,Pribliznije je njegovom interesovanju,1,2,3,3,4,5,4,3,5,4,5,3,2,4,4,4,5,5,5,4,2,3,
D,96,first,m,g,gimnazija,0,no,,,,g,"Bez obzira na to koje brojeve manje ili više volimo, nema šanse da tu išta dobijemo. Cenim ono što uradim sa svojih 10 prstiju. ",13,,,,a,"Zato što od 10 ljudi biram jednog, a šansa da ću pogoditi je 70%",11,v,Zato što verujem u sebe i svoju sreću.,13,b,"Zato što od prvog nema para, a on jeodabrao da bude pravnik i solidno zaradi, a ljubav prema operi da marginačizuje, jer mu je materijalno bogatsvo bitnije od duševnog.",13,1,3,4,4,5,5,5,4,5,4,4,4,2,3,5,5,4,3,3,3,4,Interesantno istraživanje.
D,97,first,m,v,elektro,0,no,,,,v,Pod a i b su aritmetičke grupe a na lotou se izvlači sedem nasumičnih brojeva.,1,,,,v,Jer su izabrali proizvoljno a njegove osobine nemaju veze ni sa jednim poslom.,1,v,Jer ima više pokušaja da izvuče jednu crvenu lopticu.,11,a,"Jer u muzici nema para a čovek radi sve da olakša sebi život, a u slobodno vreme može biti član filharmonije.",13,4,1,5,4,5,5,3,5,5,3,3,4,5,3,5,5,5,5,5,1,5,Pitanja su zanimljiva.
D,98,first,m,v,elektro,0,no,,,,g,,10,,,,a,,10,v,,10,a,,0,3,3,2,4,5,4,4,5,3,4,2,4,5,4,2,5,3,3,2,4,4,
D,99,first,f,v,elektro,0,no,,,,v,"Najveća različitost brojeva donosi najveću šansu. Redosled od 1-10 uglavnom nije tipičan, kao ni niz parnih brojeva.",1,,,,a,"S obzirom da je ambiciozan i perspektivan, vrlo je moguće da nije pravnik, a samim tim ima i manje šanse da bude.",12,a,Logičan zaključak.,3,a,,0,1,3,4,1,3,5,3,1,1,1,1,3,3,2,5,5,3,3,3,3,5,
D,100,first,m,v,elektro,0,no,,,,g,,10,,,,a,,10,a,,0,b,,10,3,2,3,4,3,2,4,3,4,1,3,4,3,2,2,5,1,1,5,1,5,
D,101,first,f,g,gimnazija,0,no,,,,g,,10,,,,b,,0,v,,10,a,,0,3,2,4,3,4,5,4,3,5,2,2,5,1,3,5,5,5,5,1,5,5,
D,102,first,m,g,gimnazija,0,no,,,,v,,1,,,,a,,10,b,,0,a,,0,1,1,3,3,3,5,5,3,3,3,4,3,3,3,4,3,3,4,3,3,3,
D,103,first,m,g,gimnazija,0,no,,,,g,,10,,,,a,,10,v,,10,a,,0,3,1,5,5,5,2,5,5,4,5,4,5,1,4,4,5,5,3,4,2,5,
D,104,first,m,g,gimnazija,0,no,,,,b,16 je moj srećan broj a i anketa je rađena 16. 10.,3,,,,a,Više ljudi veće šanse.,11,b,Čista sreća ali opet veće su šanse ako nečega ima više.,2,a,Radi ono što voli.,1,1,3,2,4,5,5,4,4,5,4,3,4,5,5,5,5,4,4,2,4,3,
D,105,first,m,v,elektro,0,no,,,,g,,10,,,,v,,0,a,,0,b,,10,5,1,2,3,2,5,4,3,1,4,3,2,5,2,4,3,3,3,2,4,4,
D,106,first,m,g,gimnazija,0,no,,,,v,Do sada je izvučeno malo kombinacija koje su nalik na prve dve.,2,,,,a,,10,v,I ako je u urni 10% crvenih ima sedam pokušaja.,11,b,Povezana je sa kulturom.,12,1,2,5,5,4,4,4,5,3,3,2,2,3,3,4,5,3,2,3,3,5,
D,107,first,m,g,gimnazija,0,no,,,,v,"Zato što su brojevi najšareniji, za prvo i drugo su male šanse.",1,,,,v,Postoji pola pola šansi zavisi od sreće.,1,a,"Zato što se izvlači jedna, pre će se to dogoditi nego da se izvuče 7 za redom.",1,a,Zato što to voli i onda je veća šansa da svira klarinet.,1,3,3,4,4,5,3,3,3,3,2,3,3,4,3,3,5,5,5,1,5,5,
D,108,first,m,g,gimnazija,0,no,,,,v,,0,,,,a,,10,b,,0,b,,10,1,2,5,4,5,3,3,4,3,2,2,2,3,2,2,5,4,2,2,4,5,
D,109,first,m,v,elektro,0,no,,,,a,,0,,,,v,U Srbiji samo preko veze.,3,b,,0,a,,0,3,1,5,5,4,3,2,5,4,3,2,4,4,4,3,2,4,3,3,3,4,
D,110,first,m,g,gimnazija,0,no,,,,g,Kuglice su nasumično i bez pravila pomešane tako da su sve kombinacije moguće.,11,,,,v,,0,v,,10,a,Marko će usmeriti svoj život prema interesovanjima.,1,2,3,3,4,5,5,5,4,3,3,3,1,4,3,4,5,5,4,3,3,5,
D,111,first,m,g,gimnazija,0,no,,,,v,"Kombinacije a i  b imaju neki red po kom idu, dok je kombinacija od v nasumična. Sa izvlačenjem brojeva gde se kuglice konstantno mešaju, imamo najbolje šanse sa nasumičnim redosledom.",1,,,,a,Ako je odabir fokusiran na sve radnike a više ima inženjera ona je Milan inženjer.,11,v,"Ima najviše pokušaja za izvlačenje, sreća će nas valjda pogledati",11,a,Spomenuto nam je da Marko voli muziku a ne pravo.,1,4,2,4,5,5,4,2,4,4,2,4,3,4,4,4,4,4,2,4,2,5,"Ako nisam dobro uradio ovaj upitnik nemojte reći mojoj majci, srce će joj raspući."
D,112,first,m,v,elektro,0,no,,,,v,,0,,,,b,Male su šanse iz razloga što su programeri uvek za računarom.,2,b,"Zavisi od broja kuglica, veće su šanse ako ih je 9 od 10 crveno.",2,a,Talenat je od malih nogu.,1,1,2,5,4,5,5,4,3,3,4,4,3,2,4,4,5,4,3,4,2,5,
D,113,first,f,g,gimnazija,0,no,,,,g,Ne znam kako se izvlače te kuglice tako da za mene imaju sve iste šanse.,13,,,,a,Zato što je više inženjera inf. Tehnologija.,11,b,Zato što ima najviše crvenih i onda je samim tim i verovatnoća veća.,2,a,Vjerovatnije je da je sledio svoje srce i da radi ono što voli.,1,1,3,3,4,4,4,3,4,4,4,4,3,4,3,4,5,5,4,4,2,5,
D,114,first,m,g,gimnazija,0,no,,,,g,Redosled ne igra nikakvu ulog u nasumičnom izvlačenju.,11,,,,a,Osnos radnika je 7:3.,11,b,Šansa konstantno ostaje 90% jer se vraćaju u kutiju.,2,a,Ljudi teže da se bave onim što ih zanima.,1,1,2,5,4,5,5,4,3,5,1,3,4,3,4,5,5,5,4,3,3,5,
D,115,first,f,g,gimnazija,0,no,,,,g,,10,,,,v,Zato što biramo  jednog čoveka a dve su opcije.,1,b,Zbog većeg broja crvenih kuglica.,2,a,Bio je istrajan u svojim željama.,1,1,2,3,4,4,4,3,4,2,2,2,2,1,2,4,5,4,4,5,1,5,
D,116,first,m,g,gimnazija,0,no,,,,g,,10,,,,v,Iste su šanse.,1,a,Odabrao sam prvu jer u svakoj igri imaš iste šanse 50-50%.,1,a,"Jer ga je ceo život to zanimalo, pa mi je i logično.",1,1,3,3,4,5,5,5,5,4,3,3,2,2,4,3,4,3,3,3,3,5,
D,117,first,m,v,elektro,0,no,,,,g,Svaka kombinicaija ima sedam brojeva a šansa da se pogodi tih sedam je mala tako da nije bitno da li su brojevi poređani ili nisu.,11,,,,a,7 od 10 ljudi su inženjeri.,11,a,Pod a su šanse 50-50%  pod b i v liči kao dasu šanse veće ali ipak nisu.,1,a,Ako nešto voli ići će prema tome.,1,1,2,3,3,4,5,4,1,1,1,1,2,3,2,1,5,2,1,5,1,5,
D,118,first,m,v,elektro,0,no,,,,g,Jer se kombinacije izvlače slučajno.,11,,,,v,Jer je izabran na slučajan način a može da bude ili pravnik ili inženjer.,1,a,Jer je najveća mogućnost 50%.,1,a,Nije nemoguće da je pravnik ali je veća verovatnoća da je član filharmonije.,1,1,1,3,3,5,4,1,3,2,3,4,1,4,3,2,4,3,2,1,5,5,
D,119,first,m,g,gimnazija,0,no,,,,g,,10,,,,a,,10,a,,0,b,Zanimanje je unosnije,12,1,2,5,5,5,4,3,5,3,4,3,2,4,2,3,5,3,1,5,1,5,
D,120,first,m,g,gimnazija,0,no,,,,g,Mislim da je igra na sreću.,13,,,,a,Ako je izbor slučajan onda je veća verovatnoća da će se izabrati inženjer.,11,a,,0,a,Od malena ga je zanimala umetnost...,1,2,3,3,5,5,3,1,4,2,2,1,2,4,2,3,5,4,2,3,3,5,
D,121,first,m,v,elektro,0,no,,,,g,Ne zove se bez veze igra na srecu. Svaka loptica ima istu sansu da bude izvucena.,11,,,,a,Matematicka sansa bi trebalo da bude 70%,11,a,Zato sto je to ustvari 50-50 sansa i da su tu izgledi najveci,1,a,Marka to zanima je velika verovatnoca da se time i bavi,1,1,2,5,4,4,4,5,5,3,3,3,2,3,3,4,5,5,5,3,3,5,
D,122,first,m,v,elektro,0,no,,,,g,Sanse za dobitak skoro nemoguce da su kombinacije skoro jednake,11,,,,v,Ili je pravnik ili je inženjer,1,b,Broj crvenih je veci nego u druge dve igre,2,b,Pozoriste i muzika mu je verovatno hobi,12,2,1,4,4,5,5,3,3,2,3,1,2,3,3,4,5,5,2,1,5,5,
D,123,first,m,v,elektro,0,no,,,,g,Kuglice na lotou se izvlace na nasumican nacin tako da sve gore navedene kombinacije imaju podjednake sanse,11,,,,a,Zato sto ima vise radnika sa diplomom it,11,b,veca je verovatnoca zato sto ima vise crvenih kugli,2,a,Verovatnije je da se Marko dolucio da se u svom profesionalnom zivotu bavi onime sto voli,1,1,3,5,5,5,5,3,3,3,3,2,2,4,2,5,5,5,5,3,3,5,
D,124,first,m,g,gimnazija,0,no,,,,g,,10,,,,a,jer ima 70% mogucnosti da izberu milana slucajnim izborom,11,v,b i v imaju istu mogucnost dok je a 50-50,12,a,ako ga je zanimala muzika i pozoriste i roditelji ga usmeravali  ka njegovim afinitetima onda je verovatno clan filharmonije.  Druga solucija je da je pravnik sa hobijem muzike i pozorista,2,2,1,5,5,5,5,4,4,4,4,4,3,3,2,2,5,3,4,3,3,5,Zadnjih par godina smo zrtve medijskog matretiranja i terora od pojedinih medijskih kuca kao i vaznim statistikama. Kao sto bi Staljin rekao nije vazno ko glasa vec ko broji glasove
D,125,first,m,g,gimnazija,0,no,,,,g,,10,,,,a,Posto je nasumicno odabran po definiciji dobijamo da je verovatnoca 70%,11,v,"imamo najvise puta prva da pogresimo, pa zato",11,a,"drustveni stereotip je da ljudi koji su poput marka ne postaju pravnici, a drustveni stereotipi skoro uvek imaju validni empirijsku osnovu",1,1,1,5,1,5,4,5,5,5,5,5,3,5,5,5,5,1,1,5,1,5,
D,126,first,m,g,gimnazija,0,no,,,,b,pogresan racun,2,,,,a,Jer inz inf the ima 70%,11,b,pogrešan račun.,2,b,,10,3,4,4,5,5,3,2,5,3,4,5,3,3,4,4,4,5,4,4,2,5,
C,127,first,f,g,gimnazija,0,no,v,Broj dana nema veze sa brojem dece koja su se rodila.,1,g,U random biranim brojevima ni jedna kombinacija nema više šansi da bude izvučena.,11,b,U prvoj grupi je bilo više žena i više odgovora da ispitanici koriste telefon tokom voženje.,1,v,On li jeste ili nije inženjer informacionih tehnologija,1,,,,,,,4,3,3,4,4,5,5,5,3,3,3,4,4,2,4,4,5,5,4,2,5,
C,128,first,f,v,elektro,0,no,b,Manje beba - vece sanse da je vise decaka,12,g,Nemamo na osnovu cega da zakljucimo da li jedna kombinacija ima vise sansi od druge. Brojevi se biraju nasumicno,11,v,Ne postoji drasticna razlika u broju ispitanika razlicitog pola,12,a,"Ima vise inzenjera, stoga su vece sanse da je Milan inzenjer",11,,,,,,,1,2,3,5,5,4,4,3,2,3,3,3,3,3,4,5,3,3,3,3,5,
C,129,first,m,g,gimnazija,0,no,v,Broj beba je nebitan ako se godisnje rodi isti broj decaka i devojcica. U oba porodilista ima podjednak broj dana.,1,g,"Kuglice se izvlace nasumicno, sve imaju iste sanse",11,v,% Ispitanika moze biti iskljucivo jedan pol a i ne mora jer nigde nije naglasen % kog pola,11,v,Nasumicno izbran radnik moze biti oba zanimanja podjednako je nasumicno izabran,1,,,,,,,2,1,1,5,5,4,4,5,5,3,4,3,2,5,5,4,5,3,3,3,3,Predivan upitnik
C,130,first,m,v,elektro,0,no,v,Nije dato dovoljno informacija da bi postojala zavisnost od porodilista,1,g,Svaki broj ima jednake sanse da bude izvucen,11,v,"Ne znamo koji procenat ispitanika koji telefoniraju cine zene, a koji muskarci, ukupan broj ispitanika nam nije dovoljan",11,a,Ima 70% radnika sa diplomom inzenjera it,11,,,,,,,2,1,5,5,3,1,3,5,3,3,3,3,4,3,3,5,5,4,5,1,5,
